                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 0.9307,                0.53915,                0.97392,                0.82483,                0.86496,                0.88193,                0.61421,                 1.0824,                0.65467,                 1.0729,              0.0006603,              0.0006603,              0.0006603
                    124,                0.89276,                0.51431,                0.96799,                0.88002,                0.84157,                0.89647,                0.62043,                  1.073,                0.61904,                 1.0778,             0.00065205,             0.00065205,             0.00065205
                    125,                0.92356,                0.52812,                0.97177,                0.85731,                 0.8595,                0.89584,                0.62223,                  1.082,                0.60629,                 1.0693,              0.0006438,              0.0006438,              0.0006438
                    126,                0.92757,                0.53161,                0.97646,                0.88721,                0.85051,                0.90231,                0.62221,                 1.0681,                0.61186,                 1.0645,             0.00063554,             0.00063554,             0.00063554
                    127,                0.94378,                0.53124,                0.95533,                0.86077,                0.83975,                0.89001,                0.61401,                  1.083,                0.61746,                 1.0807,             0.00062729,             0.00062729,             0.00062729
                    128,                0.91238,                0.51736,                0.96953,                0.84657,                0.86601,                0.89144,                0.62025,                 1.0651,                0.62876,                 1.0708,             0.00061904,             0.00061904,             0.00061904
                    129,                0.90608,                 0.5169,                0.96687,                0.83869,                0.85901,                0.89063,                0.62148,                 1.0728,                0.62636,                 1.0788,             0.00061079,             0.00061079,             0.00061079
                    130,                0.93596,                0.51666,                0.96875,                0.88286,                0.81688,                0.88902,                0.61833,                 1.0769,                0.61843,                 1.0705,             0.00060254,             0.00060254,             0.00060254
                    131,                0.90455,                0.50541,                0.95724,                 0.8801,                0.84105,                0.89029,                0.62217,                 1.0822,                0.62771,                 1.0759,             0.00059429,             0.00059429,             0.00059429
                    132,                0.91726,                 0.5013,                0.96382,                 0.8521,                0.85178,                0.89172,                0.62056,                 1.0803,                 0.6171,                  1.075,             0.00058603,             0.00058603,             0.00058603
                    133,                0.91482,                0.51408,                0.96358,                0.86927,                0.85126,                0.89682,                0.60456,                 1.0852,                0.61497,                 1.0765,             0.00057778,             0.00057778,             0.00057778
                    134,                0.92157,                0.51555,                0.96384,                0.83571,                0.85961,                0.89557,                0.61241,                 1.0969,                0.63455,                 1.0797,             0.00056953,             0.00056953,             0.00056953
                    135,                0.91936,                0.51984,                0.96288,                0.85866,                0.85803,                0.89158,                0.61084,                 1.0864,                 0.6186,                 1.0798,             0.00056128,             0.00056128,             0.00056128
                    136,                0.87539,                0.50144,                0.95663,                 0.8625,                0.83659,                 0.8915,                0.61589,                 1.0788,                0.62134,                 1.0799,             0.00055303,             0.00055303,             0.00055303
                    137,                 0.9229,                0.50396,                0.95777,                0.85629,                0.84162,                 0.8853,                0.60597,                 1.0884,                0.63737,                 1.0902,             0.00054478,             0.00054478,             0.00054478
                    138,                0.87533,                0.49423,                0.95909,                 0.8652,                0.84442,                0.88567,                0.61112,                 1.0807,                0.62676,                 1.0814,             0.00053652,             0.00053652,             0.00053652
                    139,                0.89264,                0.50668,                0.95501,                0.86254,                0.83625,                0.87866,                0.60759,                 1.0817,                0.63217,                 1.0827,             0.00052827,             0.00052827,             0.00052827
                    140,                0.87195,                0.50042,                0.95318,                0.87939,                 0.8324,                0.88652,                0.60799,                 1.0919,                0.62165,                 1.0876,             0.00052002,             0.00052002,             0.00052002
                    141,                0.88429,                 0.5091,                0.96719,                0.88437,                 0.8188,                0.88164,                0.60744,                 1.0899,                0.62677,                 1.0776,             0.00051177,             0.00051177,             0.00051177
                    142,                0.89131,                0.49125,                0.94967,                0.88247,                0.82397,                0.89105,                0.60674,                  1.094,                0.63143,                 1.0753,             0.00050352,             0.00050352,             0.00050352
                    143,                0.88165,                0.50503,                0.96145,                0.88862,                0.81994,                0.87978,                0.60812,                  1.077,                0.63519,                 1.0792,             0.00049527,             0.00049527,             0.00049527
                    144,                0.88963,                0.49649,                0.95577,                0.89141,                0.81815,                0.88006,                 0.6055,                 1.0822,                0.62775,                 1.0846,             0.00048701,             0.00048701,             0.00048701
                    145,                0.88638,                0.49449,                0.95576,                0.87399,                0.82021,                0.88542,                0.61716,                 1.0901,                0.63012,                 1.0862,             0.00047876,             0.00047876,             0.00047876
                    146,                0.87166,                0.49535,                 0.9501,                0.86668,                0.83055,                0.88374,                 0.6183,                 1.0729,                0.62014,                 1.0839,             0.00047051,             0.00047051,             0.00047051
                    147,                0.89058,                0.49723,                0.95662,                0.86488,                0.84607,                0.89123,                 0.6175,                 1.0751,                 0.6084,                 1.0793,             0.00046226,             0.00046226,             0.00046226
                    148,                0.84114,                0.47432,                0.94871,                0.87302,                0.82684,                0.89262,                0.61641,                 1.0932,                0.61454,                 1.0909,             0.00045401,             0.00045401,             0.00045401
                    149,                0.89288,                0.48915,                0.96252,                0.85914,                0.82453,                0.89073,                0.61318,                 1.0741,                 0.6197,                 1.0791,             0.00044576,             0.00044576,             0.00044576
                    150,                0.86021,                0.47788,                0.94458,                0.86859,                0.82394,                 0.8884,                0.62114,                 1.0586,                0.62547,                 1.0718,              0.0004375,              0.0004375,              0.0004375
